Time,Sensor HR,Time,Respiratory,Time,Distance,Time,Body Val,Real HR
14:35:25,113,14:35:26,24,14:35:25,47,14:35:25,27,0
14:35:34,112,14:35:35,23,14:35:34,47,14:35:34,19,0
14:35:37,115,14:35:38,23,14:35:37,59,14:35:37,4,0
14:35:40,118,14:35:41,24,14:35:40,47,14:35:40,13,0
14:35:43,121,14:35:44,24,14:35:43,59,14:35:43,33,0
14:35:46,118,14:35:47,21,14:35:46,59,14:35:46,14,0
14:35:49,112,14:35:50,20,14:35:49,59,14:35:49,9,0
14:35:52,106,14:35:53,19,14:35:52,59,14:35:52,70,0
14:35:55,100,14:35:56,18,14:35:55,59,14:35:55,45,0
14:36:01,110,14:36:02,23,14:36:01,59,14:36:01,50,0
14:36:04,113,14:36:05,23,14:36:04,47,14:36:04,20,0
14:36:07,116,14:36:08,24,14:36:07,47,14:36:07,5,0
14:36:10,119,14:36:11,24,14:36:10,47,14:36:10,13,0
14:36:13,119,14:36:14,23,14:36:13,47,14:36:13,26,0
14:36:16,115,14:36:17,23,14:36:16,47,14:36:16,11,0
14:36:19,112,14:36:20,24,14:36:19,47,14:36:19,35,0
14:36:22,109,14:36:23,24,14:36:22,47,14:36:22,100,0
14:36:25,107,14:36:26,24,14:36:25,47,14:36:25,25,0
14:36:28,107,14:36:29,24,14:36:28,47,14:36:28,14,0
14:36:31,107,14:36:32,24,14:36:31,47,14:36:31,13,0
14:36:34,107,14:36:35,25,14:36:34,47,14:36:34,16,0
14:36:37,107,14:36:38,24,14:36:37,47,14:36:37,62,0
14:36:40,107,14:36:41,22,14:36:40,47,14:36:40,32,0
14:36:43,107,14:36:44,23,14:36:43,47,14:36:43,20,0
14:36:46,107,14:36:47,20,14:36:46,47,14:36:46,25,0
14:36:49,105,14:36:50,19,14:36:49,47,14:36:49,22,0
14:36:52,102,14:36:53,18,14:36:52,47,14:36:52,10,0
14:36:55,99,14:36:56,19,14:36:55,47,14:36:55,10,0
14:36:58,99,14:36:59,20,14:36:58,47,14:36:58,18,0
14:37:01,99,14:37:02,21,14:37:01,47,14:37:01,47,77
14:37:04,99,14:37:05,22,14:37:04,47,14:37:04,5,77
14:37:07,99,14:37:08,22,14:37:07,47,14:37:07,33,77
14:37:10,98,14:37:11,20,14:37:10,47,14:37:10,18,77
14:37:13,97,14:37:14,20,14:37:13,47,14:37:13,16,77
14:37:16,95,14:37:17,19,14:37:16,47,14:37:16,6,76
14:37:19,95,14:37:20,18,14:37:19,47,14:37:19,12,76
14:37:22,90,14:37:23,18,14:37:22,47,14:37:22,11,76
14:37:25,84,14:37:26,18,14:37:25,47,14:37:25,33,76
14:37:28,79,14:37:29,18,14:37:28,47,14:37:28,13,76
14:37:31,74,14:37:32,17,14:37:31,47,14:37:31,13,79
14:37:34,71,14:37:35,17,14:37:34,47,14:37:34,28,79
14:37:37,68,14:37:38,17,14:37:37,47,14:37:37,19,79
14:37:43,110,14:37:44,23,14:37:43,47,14:37:43,23,79
14:37:46,113,14:37:47,24,14:37:46,47,14:37:46,9,79
14:37:49,116,14:37:50,23,14:37:49,47,14:37:49,19,76
14:37:52,119,14:37:53,23,14:37:52,47,14:37:52,7,76
14:37:55,116,14:37:56,21,14:37:55,47,14:37:55,6,76
14:37:58,110,14:37:59,20,14:37:58,47,14:37:58,8,76
14:38:01,104,14:38:02,19,14:38:01,47,14:38:01,39,78
14:38:04,98,14:38:05,19,14:38:04,47,14:38:04,20,78
14:38:07,92,14:38:08,19,14:38:07,47,14:38:07,8,78
14:38:10,87,14:38:11,20,14:38:10,47,14:38:10,17,78
14:38:13,87,14:38:14,20,14:38:13,47,14:38:13,11,78
14:38:16,87,14:38:17,21,14:38:16,47,14:38:16,17,79
14:38:19,86,14:38:20,21,14:38:19,47,14:38:19,27,79
14:38:22,0,14:38:23,22,14:38:22,47,14:38:22,1,79
14:38:25,80,14:38:26,22,14:38:25,47,14:38:25,9,79
14:38:28,77,14:38:29,22,14:38:28,47,14:38:28,6,79
14:38:31,76,14:38:32,21,14:38:31,47,14:38:31,12,76
14:38:34,76,14:38:35,20,14:38:34,47,14:38:34,6,76
14:38:37,75,14:38:38,20,14:38:37,47,14:38:37,8,76
14:38:40,72,14:38:41,19,14:38:40,47,14:38:40,6,76
14:38:43,69,14:38:44,19,14:38:43,47,14:38:43,5,76
14:38:46,67,14:38:47,19,14:38:46,47,14:38:46,30,75
14:38:49,67,14:38:50,19,14:38:49,47,14:38:49,51,75
14:38:52,67,14:38:53,20,14:38:52,47,14:38:52,9,75
14:38:55,67,14:38:56,20,14:38:55,47,14:38:55,8,75
14:38:58,68,14:38:59,20,14:38:58,47,14:38:58,4,75
14:39:01,68,14:39:02,20,14:39:01,47,14:39:01,20,77
14:39:04,68,14:39:05,20,14:39:04,47,14:39:04,20,77
14:39:07,68,14:39:08,18,14:39:07,47,14:39:07,5,77
14:39:10,68,14:39:11,18,14:39:10,47,14:39:10,8,77
14:39:13,68,14:39:14,18,14:39:13,47,14:39:13,22,77
14:39:16,68,14:39:17,19,14:39:16,47,14:39:16,14,77
14:39:19,68,14:39:20,20,14:39:19,47,14:39:19,10,77
14:39:22,69,14:39:23,21,14:39:22,47,14:39:22,8,81
14:39:25,69,14:39:26,22,14:39:25,47,14:39:25,8,81
14:39:28,69,14:39:29,22,14:39:28,47,14:39:28,6,81
14:39:31,69,14:39:32,23,14:39:31,47,14:39:31,13,81
14:39:34,69,14:39:35,23,14:39:34,47,14:39:34,17,81
14:39:37,69,14:39:38,23,14:39:37,47,14:39:37,11,81
14:39:40,68,14:39:41,21,14:39:40,47,14:39:40,16,81
14:39:43,66,14:39:44,20,14:39:43,47,14:39:43,4,79
14:39:46,66,14:39:47,20,14:39:46,47,14:39:46,3,79
14:39:49,68,14:39:50,20,14:39:49,47,14:39:49,13,79
14:39:52,68,14:39:53,20,14:39:52,47,14:39:52,8,79
14:39:55,68,14:39:56,20,14:39:55,47,14:39:55,7,79
14:39:58,68,14:39:59,20,14:39:58,47,14:39:58,37,79
14:40:01,68,14:40:02,20,14:40:01,47,14:40:01,14,79
14:40:04,68,14:40:05,20,14:40:04,47,14:40:04,18,79
14:40:07,68,14:40:08,19,14:40:07,47,14:40:07,7,79
14:40:10,68,14:40:11,19,14:40:10,47,14:40:10,9,79
14:40:13,68,14:40:14,20,14:40:13,47,14:40:13,14,79
14:40:16,68,14:40:17,21,14:40:16,47,14:40:16,2,79
14:40:19,68,14:40:20,21,14:40:19,47,14:40:19,5,79
14:40:22,68,14:40:23,22,14:40:22,47,14:40:22,86,78
14:40:25,68,14:40:26,22,14:40:25,47,14:40:25,11,78
14:40:28,68,14:40:29,22,14:40:28,47,14:40:28,31,78
14:40:31,69,14:40:32,22,14:40:31,47,14:40:31,8,78
14:40:34,72,14:40:35,22,14:40:34,47,14:40:34,7,78
14:40:37,75,14:40:38,22,14:40:37,47,14:40:37,37,78
14:40:40,78,14:40:41,22,14:40:40,47,14:40:40,6,78
14:40:43,80,14:40:44,22,14:40:43,47,14:40:43,5,76
14:40:46,80,14:40:47,22,14:40:46,47,14:40:46,11,76
