Time,Sensor HR,Time,Respiratory,Time,Distance,Time,Body Val,Real HR
14:54:53,74,14:54:54,18,14:54:53,59,14:54:53,17,0
14:54:56,71,14:54:57,18,14:54:56,59,14:54:56,22,0
14:55:11,116,14:55:12,23,14:55:11,47,14:55:11,18,0
14:55:14,119,14:55:18,24,14:55:17,47,14:55:17,50,0
14:55:26,112,14:55:27,24,14:55:26,47,14:55:26,8,0
14:55:29,115,14:55:30,23,14:55:29,47,14:55:29,27,0
14:55:32,118,14:55:33,24,14:55:32,47,14:55:32,8,0
14:55:35,121,14:55:36,23,14:55:35,47,14:55:35,27,0
14:55:38,121,14:55:39,22,14:55:38,47,14:55:38,13,0
14:55:41,115,14:55:42,21,14:55:41,47,14:55:41,5,0
14:55:44,109,14:55:45,22,14:55:44,47,14:55:44,6,0
14:55:47,103,14:55:48,22,14:55:47,47,14:55:47,6,0
14:55:50,97,14:55:51,23,14:55:50,47,14:55:50,19,0
14:55:53,94,14:55:54,21,14:55:53,47,14:55:53,9,0
14:55:56,91,14:55:57,20,14:55:56,47,14:55:56,23,0
14:56:02,89,14:56:03,19,14:56:02,47,14:56:02,12,0
14:56:05,89,14:56:06,19,14:56:05,47,14:56:05,11,0
14:56:08,89,14:56:09,18,14:56:08,47,14:56:08,22,0
14:56:11,89,14:56:12,18,14:56:11,47,14:56:11,49,0
14:56:14,89,14:56:15,18,14:56:14,47,14:56:14,39,0
14:56:17,89,14:56:18,18,14:56:17,47,14:56:17,56,0
14:56:23,110,14:56:24,24,14:56:23,47,14:56:23,23,0
14:56:26,113,14:56:27,23,14:56:26,47,14:56:26,30,0
14:56:29,116,14:56:30,23,14:56:29,47,14:56:29,6,0
14:56:32,119,14:56:33,23,14:56:32,47,14:56:32,22,0
14:56:35,119,14:56:36,22,14:56:35,47,14:56:35,15,0
14:56:38,113,14:56:39,20,14:56:38,47,14:56:38,43,0
14:56:41,107,14:56:42,19,14:56:41,47,14:56:41,8,0
14:56:44,102,14:56:45,19,14:56:44,47,14:56:44,14,0
14:56:47,99,14:56:48,18,14:56:47,47,14:56:47,25,0
14:56:50,96,14:56:51,19,14:56:50,47,14:56:50,6,0
14:56:53,93,14:56:54,20,14:56:53,47,14:56:53,6,0
14:56:56,90,14:56:57,20,14:56:56,47,14:56:56,4,0
14:57:02,81,14:57:03,19,14:57:02,47,14:57:02,6,0
14:57:05,78,14:57:06,19,14:57:05,47,14:57:05,8,0
14:57:08,78,14:57:09,18,14:57:08,47,14:57:08,2,0
14:57:11,78,14:57:12,17,14:57:11,47,14:57:11,16,0
14:57:14,75,14:57:15,17,14:57:14,47,14:57:14,30,0
14:57:17,72,14:57:18,16,14:57:17,47,14:57:17,11,0
14:57:20,70,14:57:21,16,14:57:20,47,14:57:20,20,0
14:57:23,72,14:57:24,15,14:57:23,47,14:57:23,19,0
14:57:26,75,14:57:27,15,14:57:26,47,14:57:26,4,0
14:57:29,77,14:57:30,15,14:57:29,47,14:57:29,24,0
14:57:32,75,14:57:33,15,14:57:32,47,14:57:32,10,0
14:57:35,72,14:57:36,15,14:57:35,47,14:57:35,12,0
14:57:38,72,14:57:39,15,14:57:38,47,14:57:38,42,0
14:57:41,75,14:57:42,15,14:57:41,47,14:57:41,23,0
14:57:44,78,14:57:45,15,14:57:44,47,14:57:44,4,0
14:57:47,81,14:57:48,16,14:57:47,47,14:57:47,24,0
14:57:50,84,14:57:51,16,14:57:50,47,14:57:50,66,0
14:57:53,81,14:57:54,16,14:57:53,47,14:57:53,14,0
14:57:56,80,14:57:57,16,14:57:56,47,14:57:56,16,0
14:58:02,80,14:58:03,16,14:58:02,47,14:58:02,15,82
14:58:05,80,14:58:06,16,14:58:05,47,14:58:05,13,82
14:58:08,80,14:58:09,16,14:58:08,47,14:58:08,11,82
14:58:11,80,14:58:12,17,14:58:11,47,14:58:11,26,82
14:58:14,79,14:58:15,17,14:58:14,47,14:58:14,13,82
14:58:17,77,14:58:18,18,14:58:17,47,14:58:17,9,93
14:58:20,77,14:58:21,17,14:58:20,47,14:58:20,5,93
14:58:23,77,14:58:24,16,14:58:23,47,14:58:23,4,93
14:58:26,77,14:58:27,16,14:58:27,47,14:58:26,4,93
14:58:29,77,14:58:30,16,14:58:29,47,14:58:29,12,93
14:58:32,77,14:58:33,15,14:58:33,47,14:58:32,28,90
14:58:35,75,14:58:36,17,14:58:35,47,14:58:35,14,90
14:58:38,72,14:58:39,18,14:58:38,47,14:58:38,20,90
14:58:41,72,14:58:42,19,14:58:41,47,14:58:41,12,90
14:58:44,70,14:58:45,19,14:58:44,47,14:58:44,9,90
14:58:47,67,14:58:48,18,14:58:48,47,14:58:47,24,93
14:58:50,67,14:58:51,17,14:58:51,47,14:58:50,16,93
14:58:53,67,14:58:54,16,14:58:54,47,14:58:53,20,93
14:58:56,67,14:58:57,16,14:58:57,47,14:58:56,3,93
14:59:02,66,14:59:03,16,14:59:03,47,14:59:02,6,83
14:59:05,64,14:59:06,16,14:59:06,47,14:59:05,11,83
14:59:08,64,14:59:09,16,14:59:09,47,14:59:08,23,83
14:59:11,64,14:59:12,14,14:59:12,47,14:59:11,11,83
14:59:14,65,14:59:15,12,14:59:15,47,14:59:14,4,89
14:59:17,68,14:59:18,11,14:59:18,47,14:59:17,23,89
14:59:20,71,14:59:21,10,14:59:21,47,14:59:20,50,89
14:59:23,74,14:59:24,11,14:59:24,47,14:59:23,20,89
14:59:26,77,14:59:27,12,14:59:27,47,14:59:26,14,83
14:59:29,80,14:59:30,14,14:59:30,47,14:59:29,29,83
14:59:32,0,14:59:33,15,14:59:33,47,14:59:32,10,83
14:59:35,85,14:59:36,16,14:59:36,47,14:59:35,35,83
14:59:38,85,14:59:39,16,14:59:39,47,14:59:38,15,82
14:59:41,85,14:59:42,16,14:59:42,47,14:59:41,6,82
14:59:44,85,14:59:45,17,14:59:45,47,14:59:44,21,82
14:59:47,82,14:59:48,17,14:59:48,47,14:59:47,19,82
14:59:50,79,14:59:51,17,14:59:51,47,14:59:50,4,80
14:59:53,77,14:59:54,17,14:59:54,47,14:59:53,5,80
14:59:56,77,14:59:57,17,14:59:57,47,14:59:56,12,80
15:00:02,80,15:00:03,16,15:00:03,47,15:00:02,8,94
15:00:05,0,15:00:06,16,15:00:06,47,15:00:05,24,94
15:00:08,86,15:00:09,15,15:00:09,47,15:00:08,43,94
15:00:11,88,15:00:12,15,15:00:12,47,15:00:11,10,94
15:00:14,88,15:00:15,15,15:00:15,47,15:00:14,12,94
15:00:17,88,15:00:18,15,15:00:18,47,15:00:17,7,85
15:00:20,88,15:00:21,15,15:00:21,47,15:00:20,31,85
