Time,Sensor HR,Time,Respiratory,Time,Distance,Time,Body Val,Real HR
13:45:40,89,13:45:41,14,13:45:41,35,13:45:41,24
13:45:43,0,13:45:44,13,13:45:44,35,13:45:44,25
13:45:46,78,13:45:47,12,13:45:47,35,13:45:47,5
13:45:46,78,13:45:53,13,13:45:53,35,13:45:51,17
13:45:58,73,13:45:59,14,13:45:59,35,13:45:59,10
13:46:07,110,13:46:08,23,13:46:08,35,13:46:08,11
13:46:10,113,13:46:11,24,13:46:11,35,13:46:10,35
13:46:43,126,13:46:44,23,13:46:44,59,13:46:44,41
13:46:46,125,13:46:47,23,13:46:47,47,13:46:47,6
13:46:49,125,13:46:50,24,13:46:50,47,13:46:49,92
13:47:13,115,13:47:14,23,13:47:14,47,13:47:14,16
13:47:16,118,13:47:17,24,13:47:17,47,13:47:17,5
13:47:19,121,13:47:20,24,13:47:20,47,13:47:20,5
13:47:22,124,13:47:23,22,13:47:23,47,13:47:23,5
13:47:25,118,13:47:26,20,13:47:26,47,13:47:26,7
13:47:28,112,13:47:29,21,13:47:29,47,13:47:29,8
13:47:31,106,13:47:32,20,13:47:32,47,13:47:32,5
13:47:34,101,13:47:35,20,13:47:35,47,13:47:35,34
13:47:37,98,13:47:38,21,13:47:38,47,13:47:38,6
13:47:40,92,13:47:41,21,13:47:41,47,13:47:41,4
13:47:43,86,13:47:44,22,13:47:44,47,13:47:44,5
13:47:46,0,13:47:47,21,13:47:47,47,13:47:47,10
13:47:49,80,13:47:50,19,13:47:50,47,13:47:50,7
13:47:52,76,13:47:53,18,13:47:53,47,13:47:53,8
13:47:55,73,13:47:56,18,13:47:56,47,13:47:56,14
13:48:07,115,13:48:08,23,13:48:08,47,13:48:08,11,103
13:48:10,118,13:48:11,23,13:48:11,47,13:48:11,10,103
13:48:13,121,13:48:14,24,13:48:14,47,13:48:14,5,103
13:48:16,124,13:48:17,22,13:48:17,47,13:48:17,17,103
13:48:19,118,13:48:20,22,13:48:20,47,13:48:20,10,103
13:48:22,112,13:48:23,21,13:48:23,47,13:48:23,4,103
13:48:25,106,13:48:26,21,13:48:26,47,13:48:26,12,100
13:48:34,111,13:48:35,23,13:48:35,47,13:48:35,17,100
13:48:37,114,13:48:38,24,13:48:38,47,13:48:38,15,100
13:48:40,117,13:48:41,24,13:48:41,47,13:48:41,14,100
13:48:43,120,13:48:44,23,13:48:44,47,13:48:44,13,100
13:48:46,117,13:48:47,20,13:48:47,47,13:48:47,2,103
13:48:49,111,13:48:50,18,13:48:50,47,13:48:50,9,103
13:48:52,105,13:48:53,17,13:48:53,47,13:48:53,8,103
13:48:55,99,13:48:56,16,13:48:56,47,13:48:56,29,103
13:48:58,93,13:48:59,15,13:48:59,47,13:48:59,2,103
13:49:01,87,13:49:02,15,13:49:02,47,13:49:02,5,99
13:49:04,81,13:49:05,14,13:49:05,47,13:49:05,14,99
13:49:07,80,13:49:08,14,13:49:08,47,13:49:08,7,99
13:49:10,79,13:49:11,14,13:49:11,47,13:49:11,3,99
13:49:13,78,13:49:14,14,13:49:14,47,13:49:14,1,99
13:49:16,78,13:49:17,14,13:49:17,47,13:49:17,1,99
13:49:19,78,13:49:20,14,13:49:20,47,13:49:20,22,99
13:49:22,78,13:49:23,14,13:49:23,47,13:49:23,9,103
13:49:25,78,13:49:26,14,13:49:26,47,13:49:26,11,103
13:49:28,78,13:49:29,15,13:49:29,47,13:49:29,2,103
13:49:31,78,13:49:32,15,13:49:32,47,13:49:32,12,103
13:49:34,78,13:49:35,14,13:49:35,47,13:49:35,11,103
13:49:37,78,13:49:38,13,13:49:38,47,13:49:38,7,103
13:49:40,74,13:49:41,13,13:49:41,47,13:49:41,19,103
13:49:43,71,13:49:44,13,13:49:44,47,13:49:44,12,99
13:49:46,68,13:49:47,14,13:49:47,47,13:49:47,10,99
13:49:49,69,13:49:50,14,13:49:50,47,13:49:50,7,99
13:49:52,71,13:49:53,13,13:49:53,47,13:49:53,6,99
13:49:55,69,13:49:56,13,13:49:56,47,13:49:56,1,99
13:49:58,66,13:49:59,12,13:49:59,47,13:49:59,11,99
13:50:01,66,13:50:02,12,13:50:02,47,13:50:02,4,101
13:50:04,66,13:50:05,12,13:50:05,47,13:50:05,4,101
13:50:07,66,13:50:08,12,13:50:08,47,13:50:08,12,101
13:50:10,66,13:50:11,12,13:50:11,47,13:50:11,16,101
13:50:13,66,13:50:14,12,13:50:14,47,13:50:14,6,101
