Time,Sensor HR,Time,Respiratory,Time,Distance,Time,Body Val,Real HR
15:41:28,0,15:41:29,0,15:41:28,0,15:41:28,27
15:41:32,86,15:41:33,15,15:41:32,0,15:41:32,23
15:41:35,86,15:41:36,15,15:41:35,47,15:41:35,23
15:41:47,91,15:41:48,21,15:41:47,47,15:41:47,4
15:41:50,94,15:41:51,24,15:41:50,47,15:41:50,26
15:41:53,97,15:41:54,24,15:41:53,47,15:41:53,11
15:41:56,100,15:41:57,23,15:41:56,47,15:41:56,17
15:42:02,91,15:42:03,19,15:42:02,47,15:42:02,9
15:42:05,85,15:42:06,18,15:42:05,47,15:42:05,33
15:42:08,81,15:42:09,19,15:42:08,47,15:42:08,14
15:42:11,78,15:42:12,19,15:42:11,47,15:42:11,13
15:42:14,76,15:42:15,19,15:42:14,47,15:42:14,24
15:42:17,76,15:42:18,20,15:42:17,47,15:42:17,12
15:42:20,76,15:42:21,19,15:42:20,47,15:42:20,21
15:42:23,76,15:42:24,19,15:42:23,47,15:42:23,31
15:42:26,76,15:42:27,18,15:42:26,47,15:42:26,30
15:42:29,79,15:42:30,18,15:42:29,47,15:42:29,18
15:42:32,77,15:42:33,18,15:42:32,47,15:42:32,21
15:42:41,113,15:42:42,24,15:42:41,47,15:42:41,9
15:42:44,116,15:42:45,23,15:42:44,47,15:42:44,29
15:42:47,119,15:42:48,24,15:42:47,47,15:42:47,9
15:42:50,122,15:42:51,23,15:42:50,47,15:42:50,7
15:42:53,122,15:42:54,21,15:42:53,47,15:42:53,10
15:42:56,116,15:42:57,20,15:42:56,47,15:42:56,10
15:43:02,104,15:43:03,18,15:43:02,47,15:43:02,23,86
15:43:05,100,15:43:06,18,15:43:05,47,15:43:05,12,86
15:43:08,97,15:43:09,18,15:43:08,47,15:43:08,32,86
15:43:11,94,15:43:12,17,15:43:11,47,15:43:11,17,86
15:43:14,93,15:43:15,17,15:43:14,47,15:43:14,33,86
15:43:17,93,15:43:18,17,15:43:17,47,15:43:17,23,86
15:43:20,93,15:43:21,17,15:43:20,47,15:43:20,4,86
15:43:23,93,15:43:24,17,15:43:23,47,15:43:23,6,81
15:43:26,90,15:43:27,17,15:43:26,47,15:43:26,29,81
15:43:29,85,15:43:30,17,15:43:29,47,15:43:29,10,81
15:43:32,82,15:43:33,17,15:43:32,47,15:43:32,20,81
15:43:35,79,15:43:36,17,15:43:35,47,15:43:35,14,81
15:43:38,76,15:43:39,17,15:43:38,47,15:43:38,33,81
15:43:41,76,15:43:42,17,15:43:41,47,15:43:41,74,83
15:43:44,74,15:43:45,17,15:43:44,47,15:43:44,39,83
15:43:47,73,15:43:48,17,15:43:47,47,15:43:47,30,83
15:43:50,73,15:43:51,17,15:43:50,47,15:43:50,13,83
15:43:53,73,15:43:54,17,15:43:53,47,15:43:53,5,83
15:43:56,73,15:43:57,17,15:43:56,47,15:43:56,4,83
15:44:02,70,15:44:03,17,15:44:02,47,15:44:02,32,86
15:44:05,70,15:44:06,17,15:44:05,47,15:44:05,20,86
15:44:08,70,15:44:09,17,15:44:08,47,15:44:08,28,86
15:44:11,72,15:44:12,17,15:44:11,47,15:44:11,21,86
15:44:14,75,15:44:15,17,15:44:14,47,15:44:14,4,86
15:44:17,75,15:44:18,17,15:44:17,47,15:44:17,13,86
15:44:20,75,15:44:21,15,15:44:20,47,15:44:20,17,86
15:44:23,73,15:44:24,17,15:44:23,47,15:44:23,4,84
15:44:26,72,15:44:27,18,15:44:26,47,15:44:26,17,84
15:44:29,69,15:44:30,19,15:44:29,47,15:44:29,10,84
15:44:32,66,15:44:33,19,15:44:32,47,15:44:32,33,84
15:44:35,64,15:44:36,19,15:44:35,47,15:44:35,4,84
15:44:38,64,15:44:39,18,15:44:38,47,15:44:38,11,84
15:44:41,64,15:44:42,18,15:44:41,47,15:44:41,2,81
15:44:44,64,15:44:45,18,15:44:44,47,15:44:44,14,81
15:44:47,64,15:44:48,18,15:44:48,47,15:44:47,5,81
15:44:50,64,15:44:51,17,15:44:50,47,15:44:50,15,81
15:44:53,64,15:44:54,17,15:44:53,47,15:44:53,6,81
15:44:56,64,15:44:57,17,15:44:56,47,15:44:56,11,81
15:45:02,67,15:45:03,16,15:45:03,47,15:45:02,22,80
15:45:05,70,15:45:06,16,15:45:06,47,15:45:05,6,80
15:45:08,73,15:45:09,16,15:45:09,47,15:45:08,6,80
15:45:11,76,15:45:12,16,15:45:12,47,15:45:11,45,80
15:45:14,79,15:45:15,16,15:45:15,47,15:45:14,28,80
15:45:17,82,15:45:18,16,15:45:18,47,15:45:17,12,80
15:45:20,85,15:45:21,16,15:45:21,47,15:45:20,15,80
15:45:23,88,15:45:24,16,15:45:24,47,15:45:23,7,89
15:45:26,82,15:45:27,16,15:45:27,47,15:45:26,15,89
15:45:29,77,15:45:30,16,15:45:30,47,15:45:29,17,89
15:45:32,74,15:45:33,16,15:45:33,47,15:45:32,16,89
15:45:35,71,15:45:36,16,15:45:36,47,15:45:35,19,89
15:45:38,69,15:45:39,16,15:45:39,47,15:45:38,13,89
15:45:41,69,15:45:42,17,15:45:42,47,15:45:41,23,83
15:45:44,69,15:45:45,19,15:45:45,47,15:45:44,97,83
