Time,Sensor HR,Time,Respiratory,Time,Distance,Time,Body Val,Real HR
14:22:10,117,14:22:11,24,14:22:10,59,14:22:10,41,
14:22:12,120,14:22:20,23,14:22:19,59,14:22:19,9,
14:22:22,114,14:22:23,24,14:22:22,59,14:22:22,5,
14:22:24,117,14:22:25,23,14:22:25,59,14:22:25,2,
14:22:28,120,14:22:29,23,14:22:28,0,14:22:28,3,
14:22:31,123,14:22:32,23,14:22:31,0,14:22:31,15,
14:22:34,117,14:22:35,21,14:22:34,0,14:22:34,1,
14:22:37,111,14:22:38,20,14:22:37,0,14:22:37,6,
14:22:40,105,14:22:41,19,14:22:40,0,14:22:40,5,
14:22:43,99,14:22:44,18,14:22:43,0,14:22:43,14,
14:22:46,93,14:22:47,17,14:22:46,0,14:22:46,1,
14:22:49,87,14:22:49,16,14:22:49,0,14:22:49,1,
14:22:52,81,14:22:52,16,14:22:52,0,14:22:52,1,
14:22:55,75,14:22:55,15,14:22:55,0,14:22:55,3,
14:22:58,71,14:22:59,15,14:22:58,0,14:22:58,7,
14:23:01,68,14:23:02,15,14:23:01,0,14:23:01,7,
14:23:04,65,14:23:05,15,14:23:04,0,14:23:04,4,
14:23:07,65,14:23:08,14,14:23:07,0,14:23:07,4,
14:23:10,64,14:23:11,14,14:23:10,0,14:23:10,6,
14:23:13,64,14:23:14,14,14:23:13,0,14:23:13,13,
14:23:16,64,14:23:17,14,14:23:16,0,14:23:16,28,
14:23:19,64,14:23:20,14,14:23:19,0,14:23:19,19,
14:23:22,64,14:23:23,14,14:23:22,0,14:23:22,18,
14:23:25,64,14:23:26,14,14:23:25,0,14:23:25,9,
14:23:28,64,14:23:29,14,14:23:28,0,14:23:28,12,
14:23:31,66,14:23:32,14,14:23:31,0,14:23:31,12,
14:23:34,69,14:23:35,14,14:23:34,71,14:23:34,9,
14:23:37,72,14:23:38,15,14:23:37,0,14:23:37,2,
14:23:40,74,14:23:41,16,14:23:40,0,14:23:40,1,
14:23:42,74,14:23:43,16,14:23:43,71,14:23:43,2,
14:23:45,77,14:23:47,16,14:23:46,71,14:23:46,48,
14:23:55,111,14:23:56,23,14:23:55,71,14:23:55,7,
14:23:58,114,14:23:59,23,14:23:58,71,14:23:58,5,
14:24:01,117,14:24:01,24,14:24:01,71,14:24:01,3,
