Time,Sensor HR,Time,Respiratory,Time,Distance,Time,Body Val,Real HR
14:31:02,78,14:31:03,19,14:31:03,47,14:31:02,33,
14:31:05,76,14:31:06,20,14:31:06,47,14:31:06,49,
14:31:08,72,14:31:09,17,14:31:09,47,14:31:09,39,
14:31:11,69,14:31:12,17,14:31:12,47,14:31:11,24,
14:31:14,66,14:31:15,15,14:31:15,47,14:31:14,31,
14:31:17,67,14:31:18,13,14:31:18,47,14:31:18,27,
14:31:20,67,14:31:21,14,14:31:21,47,14:31:21,6,
14:31:23,67,14:31:24,15,14:31:24,47,14:31:23,22,
14:31:26,67,14:31:27,16,14:31:27,47,14:31:27,18,
14:31:29,69,14:31:30,17,14:31:30,47,14:31:30,22,
14:31:32,72,14:31:33,17,14:31:33,47,14:31:32,14,
14:31:35,75,14:31:36,18,14:31:36,47,14:31:36,17,
14:31:38,78,14:31:39,18,14:31:39,47,14:31:39,17,
14:31:41,81,14:31:42,16,14:31:42,47,14:31:42,36,
14:31:44,84,14:31:45,16,14:31:45,47,14:31:45,45,
14:31:47,85,14:31:48,16,14:31:48,47,14:31:48,8,
14:31:50,85,14:31:51,16,14:31:51,47,14:31:51,36,
14:31:53,85,14:31:54,15,14:31:54,47,14:31:54,18,
14:31:56,0,14:31:57,14,14:31:57,47,14:31:57,13,
14:32:02,74,14:32:03,13,14:32:03,47,14:32:03,21,
14:32:05,71,14:32:06,13,14:32:06,47,14:32:06,13,
14:32:08,72,14:32:09,13,14:32:09,47,14:32:09,4,
14:32:11,75,14:32:12,13,14:32:12,47,14:32:12,6,
14:32:14,78,14:32:15,14,14:32:15,47,14:32:14,54,
14:32:17,81,14:32:18,14,14:32:18,47,14:32:17,3,
14:32:20,81,14:32:21,14,14:32:21,47,14:32:21,11,
14:32:23,78,14:32:24,14,14:32:24,47,14:32:24,9,
14:32:26,75,14:32:27,14,14:32:27,47,14:32:27,40,
14:32:29,72,14:32:30,14,14:32:30,47,14:32:29,16,
14:32:32,71,14:32:33,14,14:32:33,47,14:32:33,18,
