Time,Sensor HR,Time,Respiratory,Time,Distance,Time,Body Val,Real HR
15:47:58,86,15:47:59,15,15:47:58,35,15:47:58,24,0
15:48:01,88,15:48:02,18,15:48:01,35,15:48:01,70,0
15:48:04,85,15:48:05,17,15:48:04,35,15:48:04,6,0
15:48:07,81,15:48:08,16,15:48:07,35,15:48:07,19,0
15:48:10,78,15:48:11,17,15:48:10,35,15:48:10,6,0
15:48:13,75,15:48:14,17,15:48:13,47,15:48:13,60,0
15:48:16,72,15:48:17,18,15:48:16,47,15:48:16,22,0
15:48:19,70,15:48:20,19,15:48:19,47,15:48:19,3,0
15:48:22,70,15:48:23,20,15:48:22,47,15:48:22,32,0
15:48:25,70,15:48:26,20,15:48:25,47,15:48:25,22,0
15:48:28,70,15:48:29,21,15:48:28,47,15:48:28,3,0
15:48:31,70,15:48:32,21,15:48:31,47,15:48:31,3,0
15:48:34,70,15:48:35,20,15:48:34,47,15:48:34,18,0
15:48:37,70,15:48:38,19,15:48:37,47,15:48:37,6,0
15:48:40,70,15:48:41,18,15:48:40,47,15:48:40,6,0
15:48:43,70,15:48:44,18,15:48:43,47,15:48:43,22,0
15:48:46,70,15:48:47,18,15:48:46,47,15:48:46,27,0
15:48:49,70,15:48:50,18,15:48:49,47,15:48:49,7,0
15:48:52,70,15:48:53,18,15:48:52,47,15:48:52,9,0
15:48:55,70,15:48:56,19,15:48:55,47,15:48:55,9,0
15:48:58,70,15:48:59,20,15:48:58,47,15:48:58,25,0
15:49:01,70,15:49:02,20,15:49:01,47,15:49:01,12,77
15:49:04,70,15:49:05,20,15:49:04,47,15:49:04,6,77
15:49:07,70,15:49:08,21,15:49:07,47,15:49:07,3,77
15:49:10,70,15:49:11,21,15:49:10,47,15:49:10,3,77
15:49:13,69,15:49:14,22,15:49:13,47,15:49:13,2,77
15:49:16,66,15:49:17,22,15:49:16,47,15:49:16,3,71
15:49:19,63,15:49:20,22,15:49:19,47,15:49:19,4,71
15:49:22,62,15:49:23,22,15:49:22,47,15:49:22,1,71
15:49:25,62,15:49:26,22,15:49:25,47,15:49:25,3,71
15:49:28,62,15:49:29,22,15:49:28,47,15:49:28,19,71
15:49:31,65,15:49:32,22,15:49:31,47,15:49:31,2,73
15:49:34,68,15:49:35,22,15:49:34,47,15:49:34,11,73
15:49:37,71,15:49:38,22,15:49:37,47,15:49:37,2,73
15:49:40,74,15:49:41,23,15:49:40,47,15:49:40,3,73
15:49:43,77,15:49:44,23,15:49:43,47,15:49:43,2,73
15:49:46,79,15:49:47,23,15:49:46,47,15:49:46,11,75
15:49:49,79,15:49:50,23,15:49:49,47,15:49:49,10,75
15:49:52,79,15:49:53,23,15:49:52,47,15:49:52,3,75
15:49:55,79,15:49:56,22,15:49:55,47,15:49:55,8,75
15:49:58,78,15:49:59,22,15:49:58,47,15:49:58,7,75
15:50:01,75,15:50:02,23,15:50:01,47,15:50:01,7,77
15:50:04,72,15:50:05,23,15:50:04,47,15:50:04,13,77
15:50:07,69,15:50:08,22,15:50:07,47,15:50:07,7,77
15:50:10,69,15:50:11,22,15:50:10,47,15:50:10,3,77
15:50:13,68,15:50:14,22,15:50:13,47,15:50:13,1,74
15:50:16,65,15:50:17,22,15:50:16,47,15:50:16,8,74
15:50:19,62,15:50:20,21,15:50:19,47,15:50:19,4,74
15:50:22,62,15:50:23,20,15:50:22,47,15:50:22,2,74
15:50:25,62,15:50:26,21,15:50:25,47,15:50:25,5,73
15:50:28,62,15:50:29,21,15:50:28,47,15:50:28,9,73
15:50:31,62,15:50:32,22,15:50:31,47,15:50:31,18,73
15:50:34,62,15:50:35,22,15:50:34,47,15:50:34,2,77
15:50:37,62,15:50:38,22,15:50:37,47,15:50:37,1,77
15:50:40,62,15:50:41,21,15:50:40,47,15:50:40,1,77
15:50:43,62,15:50:44,21,15:50:43,47,15:50:43,8,82
15:50:46,62,15:50:47,21,15:50:46,47,15:50:46,2,82
15:50:49,62,15:50:50,21,15:50:49,47,15:50:49,22,82
15:50:52,62,15:50:53,21,15:50:52,47,15:50:52,11,72
15:50:55,62,15:50:56,21,15:50:55,47,15:50:55,7,72
15:50:58,62,15:50:59,21,15:50:59,47,15:50:58,10,72
15:51:01,62,15:51:02,21,15:51:01,47,15:51:01,10,75
15:51:04,62,15:51:05,21,15:51:05,47,15:51:04,14,75
15:51:07,62,15:51:08,21,15:51:08,47,15:51:07,28,75
15:51:10,62,15:51:11,21,15:51:11,47,15:51:10,12,75
15:51:13,62,15:51:14,21,15:51:14,47,15:51:13,8,75
15:51:16,63,15:51:17,21,15:51:17,47,15:51:16,12,75
15:51:19,62,15:51:20,21,15:51:20,47,15:51:19,35,75
15:51:22,64,15:51:23,21,15:51:23,47,15:51:22,21,75
15:51:25,67,15:51:26,21,15:51:26,47,15:51:25,7,75
15:51:28,69,15:51:29,21,15:51:29,47,15:51:28,3,75
15:51:31,69,15:51:32,21,15:51:32,47,15:51:31,7,74
15:51:34,69,15:51:35,22,15:51:35,47,15:51:34,2,74
15:51:37,72,15:51:38,22,15:51:38,47,15:51:37,13,74
