Time,Sensor HR,Time,Respiratory,Time,Distance,Time,Body Val,Real HR
14:49:00,95,14:49:01,20,14:49:00,47,14:49:00,13,0
14:49:03,89,14:49:04,21,14:49:03,47,14:49:03,39,0
14:49:06,86,14:49:07,22,14:49:06,47,14:49:06,39,0
14:49:12,110,14:49:13,24,14:49:12,47,14:49:12,16,0
14:49:15,113,14:49:16,23,14:49:15,47,14:49:15,5,0
14:49:18,116,14:49:19,24,14:49:18,47,14:49:18,1,0
14:49:21,119,14:49:22,24,14:49:21,47,14:49:21,1,0
14:49:24,116,14:49:25,24,14:49:24,47,14:49:24,5,0
14:49:27,112,14:49:28,24,14:49:27,47,14:49:27,36,0
14:49:30,108,14:49:31,24,14:49:30,47,14:49:30,20,0
14:49:33,102,14:49:34,24,14:49:33,47,14:49:33,6,0
14:49:36,96,14:49:37,23,14:49:36,47,14:49:36,7,0
14:49:39,92,14:49:40,23,14:49:39,47,14:49:39,1,0
14:49:42,92,14:49:43,21,14:49:42,47,14:49:42,3,0
14:49:45,92,14:49:46,19,14:49:45,47,14:49:45,9,0
14:49:48,92,14:49:49,19,14:49:48,47,14:49:48,4,0
14:49:51,88,14:49:52,21,14:49:51,47,14:49:51,2,0
14:49:54,82,14:49:55,21,14:49:54,47,14:49:54,4,0
14:49:57,79,14:49:58,22,14:49:57,47,14:49:57,8,0
14:50:00,81,14:50:01,22,14:50:00,47,14:50:00,20,76
14:50:03,84,14:50:04,22,14:50:03,47,14:50:03,3,76
14:50:06,85,14:50:07,20,14:50:06,47,14:50:06,18,76
14:50:09,85,14:50:10,20,14:50:09,47,14:50:09,11,76
14:50:12,85,14:50:13,21,14:50:12,47,14:50:12,5,76
14:50:15,85,14:50:16,20,14:50:15,47,14:50:15,2,76
14:50:18,0,14:50:19,19,14:50:18,47,14:50:18,3,76
14:50:21,77,14:50:22,18,14:50:21,47,14:50:21,7,72
14:50:24,74,14:50:25,19,14:50:24,47,14:50:24,2,72
14:50:27,71,14:50:28,20,14:50:27,47,14:50:27,21,72
14:50:30,68,14:50:31,19,14:50:30,47,14:50:30,9,72
14:50:33,67,14:50:34,18,14:50:33,47,14:50:33,4,72
14:50:36,65,14:50:37,18,14:50:36,47,14:50:36,12,72
14:50:39,65,14:50:40,18,14:50:39,47,14:50:39,9,72
14:50:42,65,14:50:43,18,14:50:42,47,14:50:42,1,71
14:50:45,65,14:50:46,18,14:50:45,47,14:50:45,13,71
14:50:48,65,14:50:49,18,14:50:48,47,14:50:48,1,71
14:50:51,65,14:50:52,18,14:50:51,47,14:50:51,1,71
14:50:54,65,14:50:55,19,14:50:54,47,14:50:54,1,71
14:50:57,65,14:50:58,19,14:50:57,47,14:50:57,1,71
14:51:00,63,14:51:01,19,14:51:00,47,14:51:00,6,72
14:51:03,63,14:51:04,20,14:51:03,47,14:51:03,3,72
14:51:06,65,14:51:07,20,14:51:06,47,14:51:06,3,72
14:51:09,68,14:51:10,20,14:51:09,47,14:51:09,2,72
14:51:12,69,14:51:13,21,14:51:12,47,14:51:12,2,70
14:51:15,69,14:51:16,21,14:51:15,47,14:51:15,2,70
14:51:18,69,14:51:19,21,14:51:18,47,14:51:18,9,70
14:51:21,69,14:51:22,21,14:51:21,47,14:51:21,2,70
14:51:24,69,14:51:25,21,14:51:24,47,14:51:24,3,67
14:51:27,69,14:51:28,21,14:51:27,47,14:51:27,10,67
14:51:30,69,14:51:31,21,14:51:30,47,14:51:30,4,67
14:51:33,71,14:51:34,22,14:51:33,47,14:51:33,2,67
14:51:36,71,14:51:37,22,14:51:36,47,14:51:36,4,71
14:51:39,71,14:51:40,22,14:51:39,47,14:51:39,8,71
14:51:42,71,14:51:43,22,14:51:42,47,14:51:42,3,71
14:51:45,69,14:51:46,22,14:51:45,47,14:51:45,16,71
14:51:48,69,14:51:49,22,14:51:48,47,14:51:48,2,74
14:51:51,69,14:51:52,22,14:51:51,47,14:51:51,6,74
14:51:54,69,14:51:55,22,14:51:54,47,14:51:54,1,74
14:51:57,69,14:51:58,22,14:51:57,59,14:51:57,1,74
14:52:00,69,14:52:01,22,14:52:00,59,14:52:00,1,72
14:52:03,66,14:52:04,22,14:52:03,59,14:52:03,3,72
14:52:06,66,14:52:07,22,14:52:06,59,14:52:06,4,72
14:52:09,66,14:52:10,22,14:52:09,59,14:52:09,3,72
14:52:12,69,14:52:13,22,14:52:12,47,14:52:12,2,72
14:52:15,69,14:52:16,22,14:52:15,47,14:52:15,2,72
14:52:18,69,14:52:19,22,14:52:18,47,14:52:18,2,72
14:52:21,69,14:52:22,22,14:52:21,47,14:52:21,7,71
14:52:24,69,14:52:25,22,14:52:24,47,14:52:24,4,71
14:52:27,69,14:52:28,22,14:52:27,47,14:52:27,1,71
14:52:30,69,14:52:31,22,14:52:30,47,14:52:30,15,71
14:52:33,69,14:52:34,23,14:52:33,47,14:52:33,2,71
14:52:36,69,14:52:37,22,14:52:36,47,14:52:36,2,71
14:52:39,69,14:52:40,22,14:52:39,47,14:52:39,3,71
14:52:42,67,14:52:43,21,14:52:42,47,14:52:42,2,72
14:52:45,64,14:52:46,21,14:52:45,47,14:52:45,3,72
14:52:48,63,14:52:49,21,14:52:48,47,14:52:48,4,72
14:52:51,63,14:52:52,21,14:52:51,47,14:52:51,8,72
14:52:54,63,14:52:55,22,14:52:54,47,14:52:54,3,72
14:52:57,63,14:52:58,22,14:52:57,47,14:52:57,1,72
14:53:00,63,14:53:01,22,14:53:00,47,14:53:00,54,75
14:53:03,63,14:53:04,22,14:53:03,59,14:53:03,10,75
14:53:06,63,14:53:07,22,14:53:06,59,14:53:06,18,75
14:53:09,63,14:53:10,22,14:53:09,59,14:53:09,5,75
14:53:12,63,14:53:13,22,14:53:12,59,14:53:12,19,75
14:53:15,63,14:53:16,22,14:53:15,59,14:53:15,13,75
14:53:18,63,14:53:19,22,14:53:18,47,14:53:18,14,75
14:53:21,63,14:53:22,22,14:53:21,47,14:53:21,10,72
14:53:24,63,14:53:25,22,14:53:24,47,14:53:24,6,72
14:53:27,63,14:53:28,22,14:53:27,47,14:53:27,3,72
14:53:30,63,14:53:31,22,14:53:30,47,14:53:30,8,72
14:53:33,63,14:53:34,22,14:53:33,47,14:53:33,5,72
14:53:36,63,14:53:37,22,14:53:36,47,14:53:36,1,72
14:53:39,63,14:53:40,23,14:53:39,47,14:53:39,2,72
14:53:42,63,14:53:43,21,14:53:42,47,14:53:42,21,77
14:53:45,63,14:53:46,22,14:53:45,47,14:53:45,9,77
14:53:48,63,14:53:49,19,14:53:48,47,14:53:48,8,77
14:53:51,62,14:53:52,16,14:53:51,47,14:53:51,3,77
14:53:54,62,14:53:55,14,14:53:54,47,14:53:54,13,77
14:53:57,62,14:53:58,14,14:53:57,47,14:53:57,6,77
14:54:00,62,14:54:01,15,14:54:00,47,14:54:00,1,75
14:54:03,62,14:54:04,16,14:54:03,47,14:54:03,3,75
14:54:06,62,14:54:07,17,14:54:06,47,14:54:06,3,75
14:54:09,63,14:54:10,17,14:54:09,47,14:54:09,4,75
14:54:12,63,14:54:13,18,14:54:12,47,14:54:12,4,75
14:54:15,63,14:54:16,19,14:54:15,47,14:54:15,5,75
14:54:18,63,14:54:19,19,14:54:18,47,14:54:18,4,75
14:54:21,63,14:54:22,19,14:54:21,47,14:54:21,5,71
14:54:24,63,14:54:25,19,14:54:24,47,14:54:24,9,71
14:54:27,63,14:54:28,19,14:54:27,47,14:54:27,7,71
14:54:30,66,14:54:31,19,14:54:30,47,14:54:30,6,71
