Time,Sensor HR,Time,Respiratory,Time,Distance,Time,Body Val,Real HR
11:01:46,117,11:01:53,23,11:01:53,47,11:01:52,21,
11:01:55,114,11:01:56,24,11:01:56,47,11:01:55,7,
11:01:58,117,11:01:59,23,11:01:59,47,11:01:58,4,
11:02:01,120,11:02:02,24,11:02:02,47,11:02:01,4,84
11:02:04,123,11:02:05,22,11:02:05,47,11:02:04,10,84
11:02:07,117,11:02:08,22,11:02:08,47,11:02:07,29,84
11:02:10,111,11:02:11,22,11:02:11,47,11:02:10,9,84
11:02:13,105,11:02:14,23,11:02:14,47,11:02:13,23,84
11:02:16,103,11:02:17,23,11:02:17,47,11:02:16,4,84
11:02:19,103,11:02:20,23,11:02:20,47,11:02:19,12,84
11:02:22,103,11:02:23,24,11:02:23,47,11:02:22,5,89
11:02:25,103,11:02:26,24,11:02:26,47,11:02:25,8,89
11:02:28,103,11:02:29,24,11:02:29,47,11:02:28,51,89
11:02:31,103,11:02:32,24,11:02:32,47,11:02:31,4,89
11:02:34,103,11:02:35,25,11:02:35,47,11:02:34,2,89
11:02:37,103,11:02:38,25,11:02:38,47,11:02:37,4,89
11:02:40,103,11:02:41,25,11:02:41,47,11:02:40,8,89
11:02:43,102,11:02:44,25,11:02:44,47,11:02:43,3,89
11:02:46,99,11:02:47,25,11:02:47,47,11:02:46,3,89
11:02:49,93,11:02:50,25,11:02:50,47,11:02:49,2,89
11:02:52,88,11:02:53,25,11:02:53,47,11:02:52,4,89
11:02:55,84,11:02:56,25,11:02:56,47,11:02:55,5,89
11:02:58,78,11:02:59,25,11:02:59,47,11:02:58,6,89
11:03:01,75,11:03:02,25,11:03:02,47,11:03:01,9,82
11:03:04,72,11:03:05,24,11:03:05,47,11:03:04,3,82
11:03:07,69,11:03:08,24,11:03:08,47,11:03:07,24,82
11:03:10,69,11:03:11,24,11:03:11,47,11:03:10,13,82
11:03:13,69,11:03:14,23,11:03:14,47,11:03:13,12,82
11:03:16,69,11:03:17,23,11:03:17,47,11:03:16,7,82
11:03:19,69,11:03:20,23,11:03:20,47,11:03:19,11,82
11:03:22,69,11:03:23,23,11:03:23,47,11:03:22,3,82
11:03:25,67,11:03:26,23,11:03:26,47,11:03:25,2,82
11:03:28,67,11:03:29,23,11:03:29,47,11:03:28,6,82
11:03:31,67,11:03:32,23,11:03:32,47,11:03:32,11,82
11:03:34,67,11:03:35,23,11:03:35,47,11:03:34,9,82
11:03:37,67,11:03:38,22,11:03:38,47,11:03:38,8,82
11:03:40,67,11:03:41,22,11:03:41,47,11:03:41,9,82
11:03:43,67,11:03:44,22,11:03:44,47,11:03:44,6,83
11:03:46,67,11:03:47,22,11:03:47,47,11:03:47,12,83
11:03:49,67,11:03:50,22,11:03:50,47,11:03:50,14,83
11:03:52,67,11:03:53,22,11:03:53,47,11:03:52,14,83
11:03:55,67,11:03:56,22,11:03:56,47,11:03:56,6,83
11:03:58,67,11:03:59,22,11:03:59,47,11:03:59,3,83
11:04:01,67,11:04:02,22,11:04:02,47,11:04:01,7,82
11:04:04,67,11:04:05,22,11:04:05,47,11:04:04,3,82
11:04:07,67,11:04:08,22,11:04:08,47,11:04:07,2,82
11:04:10,67,11:04:11,22,11:04:11,47,11:04:11,4,82
11:04:13,67,11:04:14,22,11:04:14,47,11:04:14,2,82
11:04:16,67,11:04:17,22,11:04:17,47,11:04:16,1,82
11:04:19,67,11:04:20,20,11:04:20,47,11:04:19,3,82
