Time,Sensor HR,Time,Respiratory,Time,Distance,Time,Body Val,Real HR
14:01:05,84,14:01:06,15,14:01:05,47,14:01:05,48
14:01:08,81,14:01:09,17,14:01:08,47,14:01:08,75
14:01:11,78,14:01:12,15,14:01:11,47,14:01:11,9
14:01:14,78,14:01:15,15,14:01:14,47,14:01:14,3
14:01:17,78,14:01:18,16,14:01:17,47,14:01:17,12
14:01:20,79,14:01:21,16,14:01:20,47,14:01:20,5
14:01:23,79,14:01:24,18,14:01:23,47,14:01:23,58
14:01:26,79,14:01:27,19,14:01:26,47,14:01:26,14
14:01:29,79,14:01:30,19,14:01:29,47,14:01:29,4
14:01:32,79,14:01:33,20,14:01:32,47,14:01:32,22
14:01:35,79,14:01:36,21,14:01:35,47,14:01:35,37
14:01:38,77,14:01:39,21,14:01:38,47,14:01:38,20
14:01:41,77,14:01:42,21,14:01:41,47,14:01:41,24
14:01:44,77,14:01:45,22,14:01:44,47,14:01:44,4
14:01:47,77,14:01:48,22,14:01:47,47,14:01:47,9
14:01:50,77,14:01:51,22,14:01:50,47,14:01:50,8
14:01:53,77,14:01:54,22,14:01:53,47,14:01:53,3
14:01:56,77,14:01:57,22,14:01:56,47,14:01:56,16
14:02:02,72,14:02:03,22,14:02:02,47,14:02:02,10,89
14:02:05,69,14:02:06,22,14:02:05,47,14:02:05,40,89
14:02:08,66,14:02:09,22,14:02:08,47,14:02:08,9,89
14:02:11,63,14:02:12,22,14:02:11,47,14:02:11,11,89
14:02:14,63,14:02:15,22,14:02:14,47,14:02:14,12,89
14:02:17,63,14:02:18,22,14:02:17,47,14:02:17,8,89
14:02:20,63,14:02:21,22,14:02:20,47,14:02:20,13,89
14:02:23,63,14:02:24,21,14:02:23,47,14:02:23,6,85
14:02:26,63,14:02:27,22,14:02:26,47,14:02:26,9,85
14:02:29,65,14:02:30,22,14:02:29,47,14:02:29,14,85
14:02:32,68,14:02:33,21,14:02:32,47,14:02:32,13,85
14:02:35,71,14:02:36,20,14:02:35,47,14:02:35,8,85
14:02:38,72,14:02:39,21,14:02:38,47,14:02:38,2,85
14:02:41,69,14:02:42,22,14:02:41,47,14:02:41,3,92
14:02:44,69,14:02:45,22,14:02:44,47,14:02:44,23,92
14:02:47,69,14:02:48,22,14:02:47,47,14:02:47,25,92
14:02:50,69,14:02:51,22,14:02:50,47,14:02:50,13,92
14:02:53,69,14:02:54,22,14:02:53,47,14:02:53,75,92
14:02:56,69,14:02:57,22,14:02:56,47,14:02:56,8,92
14:03:02,69,14:03:03,23,14:03:02,47,14:03:02,5,85
14:03:05,69,14:03:06,23,14:03:05,47,14:03:05,15,85
14:03:08,69,14:03:09,23,14:03:08,47,14:03:08,22,85
14:03:11,69,14:03:12,22,14:03:11,47,14:03:11,4,85
14:03:14,69,14:03:15,22,14:03:14,47,14:03:14,15,85
14:03:17,69,14:03:18,22,14:03:17,47,14:03:17,4,85
14:03:20,69,14:03:21,22,14:03:20,47,14:03:20,50,85
14:03:23,69,14:03:24,22,14:03:23,47,14:03:23,14,91
14:03:26,70,14:03:27,22,14:03:26,47,14:03:26,5,91
14:03:29,73,14:03:30,22,14:03:29,47,14:03:29,16,91
14:03:32,76,14:03:33,22,14:03:32,47,14:03:32,1,91
14:03:35,79,14:03:36,22,14:03:35,47,14:03:35,10,91
14:03:38,82,14:03:39,22,14:03:38,47,14:03:38,8,91
14:03:41,85,14:03:42,22,14:03:41,47,14:03:41,3,94
14:03:44,88,14:03:45,22,14:03:44,47,14:03:44,6,94
14:03:47,88,14:03:48,22,14:03:47,47,14:03:47,13,94
14:03:50,88,14:03:51,22,14:03:50,47,14:03:50,8,94
14:03:53,88,14:03:54,22,14:03:53,47,14:03:53,6,94
14:03:56,88,14:03:57,22,14:03:56,47,14:03:56,25,94
14:04:02,88,14:04:03,22,14:04:02,47,14:04:02,20,92
14:04:05,88,14:04:06,21,14:04:05,47,14:04:05,48,92
14:04:08,88,14:04:09,21,14:04:08,47,14:04:08,8,92
14:04:11,88,14:04:12,21,14:04:11,47,14:04:11,12,92
14:04:14,88,14:04:15,21,14:04:14,47,14:04:14,65,92
14:04:17,88,14:04:18,20,14:04:17,47,14:04:17,6,92
14:04:20,88,14:04:21,20,14:04:20,47,14:04:20,14,92
14:04:23,88,14:04:24,20,14:04:23,47,14:04:23,13,92
14:04:26,88,14:04:27,20,14:04:26,47,14:04:26,18,92
14:04:29,88,14:04:30,21,14:04:29,47,14:04:29,13,92
14:04:32,88,14:04:33,21,14:04:32,47,14:04:32,33,92
14:04:35,88,14:04:36,21,14:04:35,47,14:04:35,40,92
14:04:44,112,14:04:45,24,14:04:44,47,14:04:44,22,92
14:04:47,115,14:04:48,23,14:04:47,47,14:04:47,19,92
14:04:50,118,14:04:51,24,14:04:50,47,14:04:50,37,92
14:04:56,109,14:04:57,23,14:04:56,47,14:04:56,22,92
14:05:02,115,14:05:03,23,14:05:02,47,14:05:02,19,89
14:05:05,118,14:05:06,23,14:05:05,47,14:05:05,12,89
14:05:08,118,14:05:09,21,14:05:08,47,14:05:08,11,89
14:05:11,112,14:05:12,20,14:05:11,47,14:05:11,42,89
14:05:14,107,14:05:15,19,14:05:14,47,14:05:14,55,89
14:05:17,104,14:05:18,18,14:05:17,47,14:05:17,10,89
14:05:20,101,14:05:21,18,14:05:20,47,14:05:20,18,89
14:05:23,96,14:05:24,18,14:05:23,47,14:05:23,21,92
14:05:26,90,14:05:27,17,14:05:26,47,14:05:26,5,92
14:05:29,84,14:05:30,17,14:05:29,47,14:05:29,3,92
14:05:32,82,14:05:33,18,14:05:32,47,14:05:32,37,92
14:05:35,82,14:05:36,18,14:05:35,47,14:05:35,23,92
14:05:38,82,14:05:39,19,14:05:38,47,14:05:38,2,92
14:05:41,82,14:05:42,19,14:05:41,47,14:05:41,17,92
14:05:44,82,14:05:45,20,14:05:44,47,14:05:44,28,92
14:05:47,82,14:05:48,20,14:05:48,47,14:05:47,3,92
14:05:50,82,14:05:51,21,14:05:50,47,14:05:50,14,92
14:05:53,82,14:05:54,22,14:05:53,47,14:05:53,3,92
14:05:56,82,14:05:57,23,14:05:56,47,14:05:56,22,92
14:06:02,82,14:06:03,23,14:06:02,47,14:06:02,25,84
14:06:05,82,14:06:06,23,14:06:05,47,14:06:05,6,84
14:06:08,85,14:06:09,23,14:06:08,47,14:06:08,7,84
14:06:11,87,14:06:12,23,14:06:11,47,14:06:11,2,84
14:06:14,85,14:06:15,23,14:06:14,47,14:06:14,5,84
14:06:17,82,14:06:18,23,14:06:17,47,14:06:17,14,84
14:06:20,0,14:06:21,24,14:06:20,47,14:06:20,13,84
14:06:23,86,14:06:24,24,14:06:23,47,14:06:23,17,88
14:06:26,89,14:06:27,25,14:06:26,47,14:06:26,14,88
14:06:29,92,14:06:30,25,14:06:29,47,14:06:29,4,88
14:06:32,95,14:06:33,26,14:06:32,47,14:06:32,4,88
14:06:35,98,14:06:36,25,14:06:35,47,14:06:35,12,88
14:06:38,101,14:06:39,24,14:06:38,47,14:06:38,6,88
14:06:41,98,14:06:42,22,14:06:41,47,14:06:41,5,89
14:06:44,92,14:06:45,20,14:06:44,47,14:06:44,10,89
14:06:47,87,14:06:48,19,14:06:47,47,14:06:47,22,89
14:06:50,84,14:06:51,19,14:06:50,47,14:06:50,7,89
14:06:53,81,14:06:54,20,14:06:53,47,14:06:53,14,89
14:06:56,78,14:06:57,20,14:06:56,47,14:06:56,2,89
14:07:02,77,14:07:03,18,14:07:02,47,14:07:02,7,88
14:07:05,74,14:07:06,17,14:07:05,47,14:07:05,10,88
14:07:08,73,14:07:09,16,14:07:08,47,14:07:08,23,88
14:07:11,73,14:07:12,15,14:07:11,47,14:07:11,13,88
14:07:14,73,14:07:15,15,14:07:14,47,14:07:14,5,88
14:07:17,73,14:07:18,14,14:07:17,47,14:07:17,3,88
14:07:20,73,14:07:21,15,14:07:20,47,14:07:20,41,88
14:07:23,73,14:07:24,14,14:07:23,47,14:07:23,55,91
14:07:26,73,14:07:27,14,14:07:26,47,14:07:26,8,91
14:07:29,73,14:07:30,14,14:07:29,47,14:07:29,47,91
14:07:32,73,14:07:33,14,14:07:32,47,14:07:32,8,91
14:07:35,73,14:07:36,14,14:07:35,47,14:07:35,24,91
14:07:38,73,14:07:39,14,14:07:38,47,14:07:38,9,91
14:07:41,71,14:07:42,14,14:07:41,47,14:07:41,15,76
14:07:44,71,14:07:45,14,14:07:44,47,14:07:44,3,76
14:07:47,71,14:07:48,14,14:07:47,47,14:07:47,4,76
14:07:50,71,14:07:51,14,14:07:50,47,14:07:50,15,76
14:07:53,71,14:07:54,14,14:07:53,47,14:07:53,31,76
14:07:56,71,14:07:57,14,14:07:56,47,14:07:56,18,76
14:08:02,71,14:08:03,14,14:08:02,47,14:08:02,5,87
14:08:05,71,14:08:06,14,14:08:05,47,14:08:05,29,87
14:08:08,71,14:08:09,14,14:08:08,47,14:08:08,36,87
14:08:11,71,14:08:12,16,14:08:11,47,14:08:11,44,87
14:08:14,71,14:08:15,17,14:08:14,47,14:08:14,24,87
14:08:17,71,14:08:18,17,14:08:17,47,14:08:17,22,87
14:08:20,74,14:08:21,17,14:08:20,47,14:08:20,5,87
14:08:23,77,14:08:24,17,14:08:23,47,14:08:23,19,89
14:08:26,75,14:08:27,17,14:08:26,47,14:08:26,14,89
14:08:29,72,14:08:30,17,14:08:29,47,14:08:29,13,89
14:08:32,69,14:08:33,17,14:08:32,47,14:08:32,30,89
14:08:35,72,14:08:36,17,14:08:35,47,14:08:35,4,89
14:08:38,74,14:08:39,17,14:08:38,47,14:08:38,29,89
14:08:41,74,14:08:42,17,14:08:41,47,14:08:41,34,87
14:08:44,74,14:08:45,17,14:08:44,47,14:08:44,31,87
14:08:47,74,14:08:48,17,14:08:47,47,14:08:47,24,87
14:08:50,74,14:08:51,17,14:08:50,47,14:08:50,7,87
14:08:53,74,14:08:54,17,14:08:53,47,14:08:53,4,87
14:08:56,74,14:08:57,17,14:08:56,47,14:08:56,15,87
14:09:02,74,14:09:03,17,14:09:02,47,14:09:02,3,80
14:09:05,74,14:09:06,17,14:09:05,47,14:09:05,3,80
14:09:08,72,14:09:09,17,14:09:08,47,14:09:08,5,80
14:09:11,69,14:09:12,16,14:09:11,47,14:09:11,9,80
14:09:14,66,14:09:15,16,14:09:14,47,14:09:14,26,80
14:09:17,65,14:09:18,16,14:09:17,47,14:09:17,10,80
14:09:20,67,14:09:21,16,14:09:20,47,14:09:20,3,80
14:09:23,67,14:09:24,16,14:09:23,47,14:09:23,9,80
14:09:26,67,14:09:27,16,14:09:27,47,14:09:26,18,80
14:09:29,67,14:09:30,16,14:09:29,47,14:09:29,18,80
14:09:32,67,14:09:33,16,14:09:33,47,14:09:32,11,80
14:09:35,69,14:09:36,16,14:09:36,47,14:09:35,1,80
14:09:38,70,14:09:39,18,14:09:39,47,14:09:38,6,80
14:09:41,70,14:09:42,19,14:09:42,47,14:09:41,1,75
14:09:44,70,14:09:45,18,14:09:45,47,14:09:44,33,75
14:09:47,67,14:09:48,18,14:09:48,47,14:09:47,3,75
14:09:50,66,14:09:51,18,14:09:51,47,14:09:50,3,75
14:09:53,66,14:09:54,18,14:09:54,47,14:09:53,3,75
14:09:56,66,14:09:57,18,14:09:57,47,14:09:56,26,75
14:10:02,66,14:10:03,18,14:10:03,47,14:10:02,18,79
14:10:05,66,14:10:06,18,14:10:06,47,14:10:05,8,79
14:10:08,66,14:10:09,18,14:10:09,47,14:10:08,13,79
14:10:11,66,14:10:12,18,14:10:12,47,14:10:11,35,79
14:10:14,66,14:10:15,18,14:10:15,47,14:10:14,3,79
14:10:17,66,14:10:18,18,14:10:18,47,14:10:17,62,79
14:10:20,66,14:10:21,18,14:10:21,47,14:10:20,25,79
14:10:23,66,14:10:24,18,14:10:24,47,14:10:23,17,85
14:10:26,66,14:10:27,18,14:10:27,47,14:10:26,18,85
14:10:29,67,14:10:30,19,14:10:30,47,14:10:29,5,85
14:10:32,70,14:10:33,19,14:10:33,47,14:10:32,3,85
14:10:35,73,14:10:36,18,14:10:36,47,14:10:35,3,85
14:10:38,76,14:10:39,18,14:10:39,47,14:10:38,7,85
14:10:41,79,14:10:42,18,14:10:42,47,14:10:41,12,86
14:10:44,82,14:10:45,18,14:10:45,47,14:10:44,53,86
14:10:47,84,14:10:48,18,14:10:48,47,14:10:47,12,86
14:10:50,86,14:10:51,18,14:10:51,47,14:10:50,4,86
14:10:53,89,14:10:54,18,14:10:54,47,14:10:53,13,86
14:10:56,90,14:10:57,17,14:10:57,47,14:10:56,30,86
14:11:02,87,14:11:03,16,14:11:03,47,14:11:02,15,88
14:11:05,87,14:11:06,15,14:11:06,47,14:11:05,29,88
14:11:08,89,14:11:09,15,14:11:09,47,14:11:08,9,88
14:11:11,90,14:11:12,15,14:11:12,47,14:11:11,11,88
14:11:14,90,14:11:15,15,14:11:15,47,14:11:14,58,88
14:11:17,90,14:11:18,15,14:11:18,47,14:11:17,43,88
14:11:20,90,14:11:21,15,14:11:21,47,14:11:20,3,87
14:11:23,87,14:11:24,15,14:11:24,47,14:11:23,5,87
14:11:26,86,14:11:27,15,14:11:27,47,14:11:26,4,87
14:11:29,86,14:11:30,16,14:11:30,47,14:11:29,4,87
14:11:32,86,14:11:33,16,14:11:33,47,14:11:32,8,87
14:11:35,86,14:11:36,16,14:11:36,47,14:11:35,14,87
